,param_id,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,drug_conc_Hill,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,peak_current,Hill_curve,Hill_curve,param_values,param_values,param_values,param_values,param_values,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,RMSE,MAE,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,drug_conc_AP,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_trapping,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance,APD_conductance
,param_id,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,Hill_coef,IC50,Vhalf,Kmax,Ku,N,EC50,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,conc_0,conc_1,conc_2,conc_3,conc_4,conc_5,conc_6,conc_7,conc_8,conc_9,conc_10,conc_11,conc_12,conc_13,conc_14,conc_15,conc_16,conc_17,conc_18,conc_19,RMSE,MAE,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29,conc_20,conc_21,conc_22,conc_23,conc_24,conc_25,conc_26,conc_27,conc_28,conc_29
0,21000.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846133083154306,0.9529013446235421,0.8647371978619103,0.6686371427101013,0.3884921337232666,0.16614677737827768,0.05791318387753956,0.01768929776391156,0.004303149913937565,0.0,1.0061261039467564,0.06246863844845651,-54.93,24.25499426638768,0.0386599999999999,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.3,284.8,290.70000000000005,300.5,316.3,340.8,376.6,423.8,478.9,535.1,586.2,628.7,661.7,685.4000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.90000000000003,295.70000000000005,308.40000000000003,327.90000000000003,356.6,395.40000000000003,444.1,500.20000000000005,560.7,622.6,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.048547001205694,14.542857142857132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21001.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846111655737868,0.9529064837109494,0.8647773014084519,0.6687122002881543,0.38854375842682914,0.16617831023544816,0.05792619162257223,0.017704848796745266,0.0043037982208200785,0.0,1.0061547051370694,0.062480723975803724,-54.93,24.25499426638768,0.0542097384755702,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.3,284.90000000000003,290.8,300.6,316.5,341.1,376.8,423.90000000000003,479.0,535.2,586.2,628.7,661.6,685.4000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.0,500.20000000000005,560.7,622.6,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.157579626426124,14.671428571428574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21002.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846238428883654,0.9529272475826165,0.8648013027647302,0.668765871894741,0.38855523288220095,0.1661917185993116,0.0579384606608493,0.017700001576768515,0.004323391267383167,0.0,1.0062134942236403,0.06247977711870419,-54.93,24.25499426638768,0.0760138578786789,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.40000000000003,284.90000000000003,290.90000000000003,300.70000000000005,316.70000000000005,341.3,376.90000000000003,424.0,479.0,535.2,586.2,628.7,661.6,685.3000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.0,500.20000000000005,560.7,622.6,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.19525611037418,14.735714285714295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21003.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846188554404184,0.9529236323588749,0.8648081442030883,0.6687998604066604,0.3885871745457948,0.16620429294805333,0.05793548151933697,0.017706448177380464,0.004308373427565219,0.0,1.0062147076251649,0.06248707809294003,-54.93,24.25499426638768,0.09967,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.40000000000003,284.90000000000003,290.90000000000003,300.8,316.8,341.40000000000003,377.0,424.0,479.0,535.2,586.2,628.7,661.6,685.3000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.0,500.20000000000005,560.6,622.5,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.22466793322728,14.778571428571436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21004.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846200551296862,0.952920749539352,0.86482506178092,0.6688434167966163,0.38860306824276164,0.16620820005232245,0.05791312567598907,0.017705420358480925,0.004315194171053834,0.0,1.006273806603735,0.06248326523935363,-54.93,24.25499426638768,0.1292205265306377,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.40000000000003,285.0,291.0,300.90000000000003,316.8,341.5,377.1,424.0,479.0,535.2,586.2,628.7,661.6,685.3000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.0,500.20000000000005,560.6,622.5,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.24110183955171,14.814285714285717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21005.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846233231717991,0.9529286919236805,0.864847848919655,0.6688908527620246,0.38820115687134993,0.16630288077154803,0.05795422304453997,0.017716833193238073,0.004314250426002518,0.0,1.0064288180849847,0.062427832875291446,-54.93,24.25499426638768,0.1675323013630505,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.40000000000003,285.0,291.0,300.90000000000003,316.90000000000003,341.5,377.1,424.0,478.9,535.1,586.2,628.7,661.6,685.3000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.1,500.20000000000005,560.7,622.6,684.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.201878628330675,14.792857142857132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21006.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846203719004214,0.9529310910577191,0.8648385989283423,0.6688629743276516,0.3886487761798487,0.1662040383369793,0.057943950199456085,0.017710887547850582,0.0042978333852946,0.0,1.0062675357611526,0.06249231953543245,-54.93,24.25499426638768,0.2172028914720866,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21007.0,0.0,0.0009999999999999996,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,1.0,0.9846241345101344,0.9529306703389894,0.8648477013465597,0.6688731417438133,0.3886709874494407,0.16622068955239014,0.05792668602145378,0.017711728969192517,0.0043049660919905345,0.0,1.006267625076982,0.06249666461876628,-54.93,24.25499426638768,0.2816,1.0,1.0,0.001,0.001725210549942041,0.002976351441631319,0.005134832907437549,0.008858667904100823,0.015283067326587688,0.026366508987303583,0.04548777947003775,0.07847599703514611,0.13538761800225432,0.23357214690901212,0.40296113202003997,0.6951927961775606,1.1993539462092344,2.069138081114788,3.5696988468260624,6.158482110660261,10.624678308940409,18.32980710832434,31.622776601683793,279.3,281.40000000000003,285.0,291.0,301.0,317.0,341.6,377.20000000000005,424.0,478.9,535.1,586.2,628.7,661.6,685.3000000000001,701.3000000000001,711.5,1000.0,1000.0,1000.0,278.70000000000005,280.3,283.1,287.8,295.70000000000005,308.3,327.90000000000003,356.5,395.40000000000003,444.0,500.20000000000005,560.6,622.5,683.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.236219557312783,14.835714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21008.0,0.0,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,100.00000000000001,1.0,0.971675429552213,0.9196277714378959,0.7957595321867982,0.5805612151493297,0.3398798994436603,0.1583669445635759,0.059659763160975425,0.018881860875518727,0.004610450797825627,0.0,0.8877330663878216,0.18277136205946848,-43.66250000000001,15.854809180042867,0.0007927,1.0,1.0,0.0031622776601683794,0.00545559478116852,0.00941204967268067,0.016237767391887217,0.02801356761198867,0.04832930238571752,0.08337822234717891,0.14384498882876623,0.24816289228368252,0.42813323987193913,0.7386199822079358,1.2742749857031335,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846883,19.47483039908755,33.59818286283781,57.96393953384961,100.0,280.8,283.8,288.90000000000003,297.20000000000005,310.3,330.0,357.90000000000003,394.70000000000005,439.3,488.6,537.2,578.9000000000001,610.6,632.2,646.0,654.5,659.5,662.5,664.3000000000001,665.3000000000001,281.3,284.20000000000005,288.90000000000003,296.1,307.20000000000005,323.5,346.6,377.6,416.40000000000003,462.30000000000007,513.3000000000001,567.0,621.6,675.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,17.794842752084907,12.835714285714293,316.22776601683796,1000.0000000000001,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000003,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,666.3000000000001,666.6,666.7,666.7,666.7,666.7,666.7,666.7,666.7,666.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0,21009.0,0.0,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,100.00000000000001,1.0,0.9711186130443716,0.9182794112848932,0.793183001730176,0.5763233404305055,0.3338486340324492,0.1529090109696553,0.056912487806250564,0.017994585485745444,0.004414519851889285,0.0,0.8937465086782064,0.17648733310449893,-43.66250000000001,15.854809180042867,0.0010882288891639,1.0,1.0,0.0031622776601683794,0.00545559478116852,0.00941204967268067,0.016237767391887217,0.02801356761198867,0.04832930238571752,0.08337822234717891,0.14384498882876623,0.24816289228368252,0.42813323987193913,0.7386199822079358,1.2742749857031335,2.1983926488622894,3.79269019073225,6.543189129712962,11.288378916846883,19.47483039908755,33.59818286283781,57.96393953384961,100.0,280.90000000000003,284.0,289.3,297.8,311.40000000000003,331.70000000000005,360.70000000000005,399.1,446.1,498.0,548.4,590.3000000000001,621.0,641.4000000000001,654.3000000000001,662.2,666.9000000000001,669.7,671.3000000000001,672.3000000000001,281.3,284.20000000000005,289.0,296.3,307.6,324.20000000000005,347.8,379.20000000000005,418.8,465.4,516.9,571.1,626.1,680.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,19.57994600897269,14.385714285714291,316.22776601683796,1000.0000000000001,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000003,316227.766016838,1000000.0000000003,3162277.6601683805,10000000.000000004,673.2,673.5,673.6,673.6,673.6,673.6,673.6,673.6,673.6,673.6,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0,21010.0,0.0,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,,1.0,0.9702547260342015,0.9158343242226209,0.7872475987540193,0.5660060568472502,0.32038629556424686,0.1411778684486631,0.048978638794747384,0.012544581111211657,0.0,,0.9103964654721659,0.16179846817782728,-43.66250000000001,15.854809180042867,0.0014939347990551,1.0,1.0,0.0031622776601683794,0.005134832907437549,0.008337822234717891,0.01353876180022544,0.021983926488622893,0.035696988468260644,0.05796393953384967,0.09412049672680665,0.15283067326587688,0.24816289228368252,0.40296113202003997,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.622776601683793,281.1,283.90000000000003,288.3,295.20000000000005,305.70000000000005,321.1,342.90000000000003,372.3,409.70000000000005,454.1,502.20000000000005,548.3000000000001,587.3000000000001,617.0,638.1,652.4000000000001,661.8000000000001,667.8000000000001,671.6,674.0,281.20000000000005,283.8,287.8,293.70000000000005,302.6,315.3,333.1,356.90000000000003,387.5,424.5,467.1,513.8000000000001,562.7,612.5,662.1,1000.0,1000.0,1000.0,1000.0,1000.0,18.923776930975848,14.053333333333345,100.0,316.22776601683796,1000.0000000000001,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000003,316227.766016838,1000000.0000000003,3162277.6601683805,676.7,677.5,677.8000000000001,677.9000000000001,677.9000000000001,677.9000000000001,677.9000000000001,677.9000000000001,677.9000000000001,677.9000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0,21011.0,0.0,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,,1.0,0.9694614623201794,0.9133127506387195,0.7808395639200667,0.554121899829088,0.30643057708803945,0.13145521065516463,0.04482962566966336,0.011389895333881402,0.0,,0.9212163337873167,0.14992914796223558,-43.66250000000001,15.854809180042867,0.0020508931586465,1.0,1.0,0.0031622776601683794,0.005134832907437549,0.008337822234717891,0.01353876180022544,0.021983926488622893,0.035696988468260644,0.05796393953384967,0.09412049672680665,0.15283067326587688,0.24816289228368252,0.40296113202003997,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.622776601683793,281.3,284.20000000000005,288.8,296.1,307.0,323.1,346.0,376.8,416.1,462.5,511.6,557.2,594.6,622.8000000000001,642.8000000000001,656.3000000000001,665.3000000000001,671.0,674.7,676.9000000000001,281.3,284.0,288.1,294.20000000000005,303.40000000000003,316.70000000000005,335.20000000000005,360.1,391.8,430.1,473.9,521.6,571.3000000000001,621.7,671.8000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,20.277392994827185,14.913333333333329,100.0,316.22776601683796,1000.0000000000001,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000003,316227.766016838,1000000.0000000003,3162277.6601683805,679.5,680.3000000000001,680.5,680.6,680.6,680.7,680.7,680.7,680.7,680.7,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0,21012.0,0.0,0.0031622776601683785,0.009999999999999998,0.03162277660168379,0.1,0.31622776601683794,1.0,3.1622776601683795,10.0,31.622776601683796,,1.0,0.9687110426878437,0.9106369082974652,0.7734951770586994,0.5398515251040674,0.29001969761245194,0.12057480651916352,0.040266737532671834,0.010123940507989,0.0,,0.9352542554875546,0.13666093939324928,-43.66250000000001,15.854809180042867,0.0028154928520598,1.0,1.0,0.0031622776601683794,0.005134832907437549,0.008337822234717891,0.01353876180022544,0.021983926488622893,0.035696988468260644,0.05796393953384967,0.09412049672680665,0.15283067326587688,0.24816289228368252,0.40296113202003997,0.6543189129712969,1.062467830894041,1.7252105499420392,2.8013567611988672,4.548777947003778,7.386199822079358,11.99353946209233,19.47483039908755,31.622776601683793,281.5,284.6,289.40000000000003,297.0,308.40000000000003,325.40000000000003,349.3,381.70000000000005,422.70000000000005,470.5,519.6,563.9,599.8000000000001,626.7,645.9000000000001,658.9000000000001,667.5,673.1,676.6,678.8000000000001,281.3,284.1,288.3,294.8,304.40000000000003,318.3,337.8,363.90000000000003,397.1,437.0,482.20000000000005,531.1,581.9000000000001,633.1,683.7,1000.0,1000.0,1000.0,1000.0,1000.0,20.91930527845829,15.719999999999994,100.0,316.22776601683796,1000.0000000000001,3162.27766016838,10000.000000000002,31622.7766016838,100000.00000000003,316227.766016838,1000000.0000000003,3162277.6601683805,681.3000000000001,682.1,682.3000000000001,682.4000000000001,682.4000000000001,682.4000000000001,682.4000000000001,682.4000000000001,682.4000000000001,682.4000000000001,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
